type_,start_date_local_,distance_sum,distance_mean,distance_min,distance_max,moving_time_sum,moving_time_mean,moving_time_min,moving_time_max,total_elevation_gain_sum,total_elevation_gain_mean,total_elevation_gain_min,total_elevation_gain_max
Run,2022-06-06 18:38:15+02:00,15521.8,15521.8,15521.8,15521.8,4844,4844,4844,4844,41.0,41.0,41.0,41.0
Ride,2022-06-05 14:05:58+02:00,12335.5,12335.5,12335.5,12335.5,2353,2353,2353,2353,49.0,49.0,49.0,49.0
Ride,2022-06-05 11:47:45+02:00,13046.0,13046.0,13046.0,13046.0,2640,2640,2640,2640,37.0,37.0,37.0,37.0
Ride,2022-06-03 17:05:03+02:00,8348.3,8348.3,8348.3,8348.3,1208,1208,1208,1208,69.0,69.0,69.0,69.0
Run,2022-06-03 12:17:56+02:00,15912.3,15912.3,15912.3,15912.3,5157,5157,5157,5157,47.0,47.0,47.0,47.0
Ride,2022-06-03 09:13:03+02:00,8495.8,8495.8,8495.8,8495.8,1195,1195,1195,1195,64.0,64.0,64.0,64.0
Ride,2022-06-02 17:54:40+02:00,8505.4,8505.4,8505.4,8505.4,1239,1239,1239,1239,56.0,56.0,56.0,56.0
Ride,2022-06-02 08:34:13+02:00,8450.3,8450.3,8450.3,8450.3,1183,1183,1183,1183,62.0,62.0,62.0,62.0
Ride,2022-06-01 16:54:25+02:00,8359.1,8359.1,8359.1,8359.1,1158,1158,1158,1158,68.0,68.0,68.0,68.0
Run,2022-06-01 13:33:17+02:00,3028.0,3028.0,3028.0,3028.0,973,973,973,973,92.0,92.0,92.0,92.0
Swim,2022-06-01 12:40:58+02:00,2025.0,2025.0,2025.0,2025.0,2451,2451,2451,2451,0.0,0.0,0.0,0.0
Run,2022-06-01 12:20:29+02:00,2756.4,2756.4,2756.4,2756.4,842,842,842,842,10.0,10.0,10.0,10.0
Ride,2022-06-01 10:14:22+02:00,8503.7,8503.7,8503.7,8503.7,1184,1184,1184,1184,71.0,71.0,71.0,71.0
Ride,2022-05-31 17:43:20+02:00,8505.4,8505.4,8505.4,8505.4,1189,1189,1189,1189,63.0,63.0,63.0,63.0
Run,2022-05-31 13:25:32+02:00,3103.1,3103.1,3103.1,3103.1,1026,1026,1026,1026,86.0,86.0,86.0,86.0
Swim,2022-05-31 12:36:51+02:00,2000.0,2000.0,2000.0,2000.0,2495,2495,2495,2495,0.0,0.0,0.0,0.0
Run,2022-05-31 12:18:17+02:00,2630.7,2630.7,2630.7,2630.7,745,745,745,745,4.0,4.0,4.0,4.0
Ride,2022-05-31 08:40:26+02:00,8479.6,8479.6,8479.6,8479.6,1154,1154,1154,1154,57.0,57.0,57.0,57.0
Ride,2022-05-30 18:18:49+02:00,8338.3,8338.3,8338.3,8338.3,1136,1136,1136,1136,51.0,51.0,51.0,51.0
Run,2022-05-30 12:35:06+02:00,10413.8,10413.8,10413.8,10413.8,3224,3224,3224,3224,30.0,30.0,30.0,30.0
Ride,2022-05-30 08:39:44+02:00,8217.2,8217.2,8217.2,8217.2,1102,1102,1102,1102,48.0,48.0,48.0,48.0
Ride,2022-05-28 09:35:13+02:00,101153.0,101153.0,101153.0,101153.0,15129,15129,15129,15129,1247.0,1247.0,1247.0,1247.0
Swim,2022-05-28 09:04:21+02:00,558.2,558.2,558.2,558.2,658,658,658,658,0.0,0.0,0.0,0.0
Ride,2022-05-26 17:16:10+02:00,61107.4,61107.4,61107.4,61107.4,10166,10166,10166,10166,1322.0,1322.0,1322.0,1322.0
Swim,2022-05-26 16:43:47+02:00,1006.4,1006.4,1006.4,1006.4,1110,1110,1110,1110,2.8,2.8,2.8,2.8
Run,2022-05-26 12:17:44+02:00,6677.4,6677.4,6677.4,6677.4,2220,2220,2220,2220,107.0,107.0,107.0,107.0
Ride,2022-05-24 17:58:04+02:00,7654.4,7654.4,7654.4,7654.4,1233,1233,1233,1233,30.0,30.0,30.0,30.0
Run,2022-05-24 12:17:11+02:00,10032.7,10032.7,10032.7,10032.7,3550,3550,3550,3550,29.0,29.0,29.0,29.0
Ride,2022-05-24 08:47:13+02:00,8376.3,8376.3,8376.3,8376.3,1262,1262,1262,1262,54.0,54.0,54.0,54.0
Ride,2022-05-23 17:48:51+02:00,8591.9,8591.9,8591.9,8591.9,1901,1901,1901,1901,35.0,35.0,35.0,35.0
Run,2022-05-23 13:30:38+02:00,3071.5,3071.5,3071.5,3071.5,1054,1054,1054,1054,42.0,42.0,42.0,42.0
Swim,2022-05-23 12:33:02+02:00,2025.0,2025.0,2025.0,2025.0,2578,2578,2578,2578,0.0,0.0,0.0,0.0
Run,2022-05-23 12:11:12+02:00,2733.1,2733.1,2733.1,2733.1,946,946,946,946,9.0,9.0,9.0,9.0
Ride,2022-05-23 08:48:10+02:00,8468.6,8468.6,8468.6,8468.6,1474,1474,1474,1474,44.0,44.0,44.0,44.0
Run,2022-05-22 16:38:54+02:00,10366.2,10366.2,10366.2,10366.2,3768,3768,3768,3768,29.0,29.0,29.0,29.0
Run,2022-05-21 17:10:25+02:00,9548.3,9548.3,9548.3,9548.3,3640,3640,3640,3640,226.0,226.0,226.0,226.0
Workout,2022-05-21 17:09:03+02:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ride,2022-05-21 15:35:11+02:00,38678.7,38678.7,38678.7,38678.7,5631,5631,5631,5631,692.8,692.8,692.8,692.8
Workout,2022-05-21 15:30:28+02:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Swim,2022-05-21 15:00:04+02:00,1355.8,1355.8,1355.8,1355.8,1824,1824,1824,1824,0.0,0.0,0.0,0.0
Ride,2022-05-19 17:57:41+02:00,7659.1,7659.1,7659.1,7659.1,1167,1167,1167,1167,61.0,61.0,61.0,61.0
Ride,2022-05-19 08:51:34+02:00,7711.3,7711.3,7711.3,7711.3,1183,1183,1183,1183,49.0,49.0,49.0,49.0
Run,2022-05-18 21:49:11+02:00,3541.9,3541.9,3541.9,3541.9,1109,1109,1109,1109,14.0,14.0,14.0,14.0
Ride,2022-05-18 17:24:12+02:00,7693.0,7693.0,7693.0,7693.0,1195,1195,1195,1195,51.0,51.0,51.0,51.0
Ride,2022-05-18 08:42:37+02:00,6982.1,6982.1,6982.1,6982.1,1003,1003,1003,1003,33.0,33.0,33.0,33.0
Run,2022-05-17 05:16:14+02:00,7551.7,7551.7,7551.7,7551.7,2791,2791,2791,2791,21.0,21.0,21.0,21.0
Ride,2022-05-17 04:05:40+02:00,30799.3,30799.3,30799.3,30799.3,3958,3958,3958,3958,665.0,665.0,665.0,665.0
Run,2022-05-15 16:23:30+02:00,4982.9,4982.9,4982.9,4982.9,1670,1670,1670,1670,33.2,33.2,33.2,33.2
Workout,2022-05-15 16:21:36+02:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ride,2022-05-15 15:44:49+02:00,21152.1,21152.1,21152.1,21152.1,2206,2206,2206,2206,192.0,192.0,192.0,192.0
Workout,2022-05-15 15:40:09+02:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Swim,2022-05-15 15:26:38+02:00,821.3,821.3,821.3,821.3,798,798,798,798,0.0,0.0,0.0,0.0
Run,2022-05-13 21:54:16+02:00,2036.5,2036.5,2036.5,2036.5,572,572,572,572,2.0,2.0,2.0,2.0
Workout,2022-05-13 09:13:24+02:00,0.0,0.0,0.0,0.0,201,201,201,201,0.0,0.0,0.0,0.0
Run,2022-05-12 20:59:15+02:00,2128.3,2128.3,2128.3,2128.3,647,647,647,647,1.0,1.0,1.0,1.0
Workout,2022-05-12 12:10:20+02:00,0.0,0.0,0.0,0.0,1191,1191,1191,1191,0.0,0.0,0.0,0.0
Workout,2022-05-11 22:39:05+02:00,0.0,0.0,0.0,0.0,1309,1309,1309,1309,0.0,0.0,0.0,0.0
Workout,2022-05-11 22:06:47+02:00,0.0,0.0,0.0,0.0,508,508,508,508,0.0,0.0,0.0,0.0
Run,2022-05-11 20:52:29+02:00,12286.2,12286.2,12286.2,12286.2,4053,4053,4053,4053,60.0,60.0,60.0,60.0
Workout,2022-05-11 12:12:54+02:00,0.0,0.0,0.0,0.0,548,548,548,548,0.0,0.0,0.0,0.0
Workout,2022-05-11 09:54:41+02:00,0.0,0.0,0.0,0.0,1296,1296,1296,1296,0.0,0.0,0.0,0.0
Run,2022-05-10 22:46:38+02:00,3349.2,3349.2,3349.2,3349.2,1087,1087,1087,1087,30.0,30.0,30.0,30.0
Workout,2022-05-10 18:14:55+02:00,0.0,0.0,0.0,0.0,1131,1131,1131,1131,0.0,0.0,0.0,0.0
Workout,2022-05-10 17:24:42+02:00,0.0,0.0,0.0,0.0,2050,2050,2050,2050,0.0,0.0,0.0,0.0
Workout,2022-05-10 15:28:56+02:00,0.0,0.0,0.0,0.0,1207,1207,1207,1207,0.0,0.0,0.0,0.0
Workout,2022-05-10 13:32:07+02:00,0.0,0.0,0.0,0.0,3025,3025,3025,3025,0.0,0.0,0.0,0.0
Workout,2022-05-10 11:07:33+02:00,0.0,0.0,0.0,0.0,419,419,419,419,0.0,0.0,0.0,0.0
Workout,2022-05-10 10:42:02+02:00,0.0,0.0,0.0,0.0,436,436,436,436,0.0,0.0,0.0,0.0
Workout,2022-05-10 09:31:23+02:00,0.0,0.0,0.0,0.0,3881,3881,3881,3881,0.0,0.0,0.0,0.0
Workout,2022-05-10 08:44:34+02:00,0.0,0.0,0.0,0.0,927,927,927,927,0.0,0.0,0.0,0.0
Workout,2022-05-10 08:04:56+02:00,0.0,0.0,0.0,0.0,195,195,195,195,0.0,0.0,0.0,0.0
Run,2022-05-09 17:52:48+02:00,645.4,645.4,645.4,645.4,206,206,206,206,6.0,6.0,6.0,6.0
Run,2022-05-09 17:20:22+02:00,4902.4,4902.4,4902.4,4902.4,1488,1488,1488,1488,5.0,5.0,5.0,5.0
Run,2022-05-08 19:27:41+02:00,11101.8,11101.8,11101.8,11101.8,3701,3701,3701,3701,29.0,29.0,29.0,29.0
Run,2022-05-07 19:56:52+02:00,254.1,254.1,254.1,254.1,147,147,147,147,1.0,1.0,1.0,1.0
Run,2022-05-07 18:39:26+02:00,291.7,291.7,291.7,291.7,165,165,165,165,8.0,8.0,8.0,8.0
Run,2022-05-07 15:20:21+02:00,1360.2,1360.2,1360.2,1360.2,705,705,705,705,9.0,9.0,9.0,9.0
Run,2022-05-06 18:48:44+02:00,1803.8,1803.8,1803.8,1803.8,854,854,854,854,15.0,15.0,15.0,15.0
Run,2022-05-06 16:21:07+02:00,3305.5,3305.5,3305.5,3305.5,1069,1069,1069,1069,21.0,21.0,21.0,21.0
Run,2022-05-05 21:07:16+02:00,1741.2,1741.2,1741.2,1741.2,740,740,740,740,4.0,4.0,4.0,4.0
Run,2022-05-04 19:51:30+02:00,8500.3,8500.3,8500.3,8500.3,2836,2836,2836,2836,19.0,19.0,19.0,19.0
Ride,2022-05-03 17:38:34+02:00,8439.1,8439.1,8439.1,8439.1,1184,1184,1184,1184,55.0,55.0,55.0,55.0
Run,2022-05-03 13:27:21+02:00,2363.0,2363.0,2363.0,2363.0,734,734,734,734,118.0,118.0,118.0,118.0
Swim,2022-05-03 12:38:23+02:00,2000.0,2000.0,2000.0,2000.0,2484,2484,2484,2484,0.0,0.0,0.0,0.0
Run,2022-05-03 12:21:11+02:00,2715.1,2715.1,2715.1,2715.1,760,760,760,760,8.0,8.0,8.0,8.0
Ride,2022-05-03 08:28:10+02:00,8467.5,8467.5,8467.5,8467.5,1179,1179,1179,1179,73.0,73.0,73.0,73.0
Ride,2022-05-02 17:57:34+02:00,8478.6,8478.6,8478.6,8478.6,1167,1167,1167,1167,48.0,48.0,48.0,48.0
Run,2022-05-02 13:28:01+02:00,3048.9,3048.9,3048.9,3048.9,974,974,974,974,119.0,119.0,119.0,119.0
Swim,2022-05-02 12:40:52+02:00,2000.0,2000.0,2000.0,2000.0,2404,2404,2404,2404,0.0,0.0,0.0,0.0
Run,2022-05-02 12:21:26+02:00,2765.2,2765.2,2765.2,2765.2,871,871,871,871,4.0,4.0,4.0,4.0
Ride,2022-05-02 08:45:34+02:00,8475.9,8475.9,8475.9,8475.9,1167,1167,1167,1167,61.0,61.0,61.0,61.0
Run,2022-05-01 19:01:44+02:00,13016.1,13016.1,13016.1,13016.1,4174,4174,4174,4174,28.0,28.0,28.0,28.0
Run,2022-04-30 19:55:16+02:00,12517.7,12517.7,12517.7,12517.7,3959,3959,3959,3959,27.0,27.0,27.0,27.0
Ride,2022-04-29 18:38:27+02:00,8434.4,8434.4,8434.4,8434.4,1015,1015,1015,1015,69.0,69.0,69.0,69.0
Run,2022-04-29 13:30:31+02:00,3018.4,3018.4,3018.4,3018.4,956,956,956,956,52.0,52.0,52.0,52.0
Swim,2022-04-29 12:38:26+02:00,2025.0,2025.0,2025.0,2025.0,2385,2385,2385,2385,0.0,0.0,0.0,0.0
Run,2022-04-29 12:19:07+02:00,2687.5,2687.5,2687.5,2687.5,820,820,820,820,4.0,4.0,4.0,4.0
Ride,2022-04-29 08:31:48+02:00,8439.2,8439.2,8439.2,8439.2,1037,1037,1037,1037,61.0,61.0,61.0,61.0
Run,2022-04-28 18:23:34+02:00,2019.7,2019.7,2019.7,2019.7,841,841,841,841,8.0,8.0,8.0,8.0
Ride,2022-04-28 17:37:30+02:00,8348.7,8348.7,8348.7,8348.7,1075,1075,1075,1075,51.0,51.0,51.0,51.0
Ride,2022-04-28 08:29:53+02:00,8502.5,8502.5,8502.5,8502.5,1106,1106,1106,1106,70.0,70.0,70.0,70.0
Run,2022-04-27 19:23:03+02:00,8378.6,8378.6,8378.6,8378.6,2462,2462,2462,2462,19.0,19.0,19.0,19.0
Ride,2022-04-26 17:44:41+02:00,8502.5,8502.5,8502.5,8502.5,1230,1230,1230,1230,49.0,49.0,49.0,49.0
Run,2022-04-26 13:29:54+02:00,3037.0,3037.0,3037.0,3037.0,952,952,952,952,87.0,87.0,87.0,87.0
Swim,2022-04-26 12:38:58+02:00,2025.0,2025.0,2025.0,2025.0,2438,2438,2438,2438,0.0,0.0,0.0,0.0
Run,2022-04-26 12:19:58+02:00,2716.4,2716.4,2716.4,2716.4,827,827,827,827,6.0,6.0,6.0,6.0
Ride,2022-04-26 08:33:13+02:00,8541.6,8541.6,8541.6,8541.6,1089,1089,1089,1089,59.0,59.0,59.0,59.0
Ride,2022-04-25 17:51:10+02:00,8374.5,8374.5,8374.5,8374.5,1172,1172,1172,1172,60.0,60.0,60.0,60.0
Run,2022-04-25 13:28:06+02:00,3025.3,3025.3,3025.3,3025.3,1039,1039,1039,1039,110.0,110.0,110.0,110.0
Swim,2022-04-25 12:33:53+02:00,2025.0,2025.0,2025.0,2025.0,2401,2401,2401,2401,0.0,0.0,0.0,0.0
Run,2022-04-25 12:15:10+02:00,2739.9,2739.9,2739.9,2739.9,811,811,811,811,6.0,6.0,6.0,6.0
Ride,2022-04-25 08:53:21+02:00,8440.1,8440.1,8440.1,8440.1,1101,1101,1101,1101,57.0,57.0,57.0,57.0
Run,2022-04-24 19:44:00+02:00,6303.5,6303.5,6303.5,6303.5,2027,2027,2027,2027,49.0,49.0,49.0,49.0
Ride,2022-04-24 18:26:09+02:00,33090.0,33090.0,33090.0,33090.0,4401,4401,4401,4401,232.0,232.0,232.0,232.0
